reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
28_reg_array_body,,PA_22,input_en,1:1,92,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_22,drive_strength,3:2,92,rw,'0,,
28_reg_array_body,,PA_22,slew_rate,4:4,92,rw,'0,,
28_reg_array_body,,PA_22,pull_up,5:5,92,rw,'0,,
28_reg_array_body,,PA_22,pull_down,6:6,92,rw,'0,,
28_reg_array_body,,PA_22,hysteresis,7:7,92,rw,'0,,
28_reg_array_body,,PA_22,sel,11:8,92,rw,'0,,
28_reg_array_body,,PA_22,input_val,16:16,92,ro,'0,,
28_reg_array_body,,PA_23,output_en,0:0,96,rw,'0,,
28_reg_array_body,,PA_23,input_en,1:1,96,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_23,drive_strength,3:2,96,rw,'0,,
28_reg_array_body,,PA_23,slew_rate,4:4,96,rw,'0,,
28_reg_array_body,,PA_23,pull_up,5:5,96,rw,'0,,
28_reg_array_body,,PA_23,pull_down,6:6,96,rw,'0,,
28_reg_array_body,,PA_23,hysteresis,7:7,96,rw,'0,,
28_reg_array_body,,PA_23,sel,11:8,96,rw,'0,,
28_reg_array_body,,PA_23,input_val,16:16,96,ro,'0,,
28_reg_array_body,,PA_24,output_en,0:0,100,rw,'0,,
28_reg_array_body,,PA_24,input_en,1:1,100,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_24,drive_strength,3:2,100,rw,'0,,
28_reg_array_body,,PA_24,slew_rate,4:4,100,rw,'0,,
28_reg_array_body,,PA_24,pull_up,5:5,100,rw,'0,,
28_reg_array_body,,PA_24,pull_down,6:6,100,rw,'0,,
28_reg_array_body,,PA_24,hysteresis,7:7,100,rw,'0,,
28_reg_array_body,,PA_24,sel,10:8,100,rw,'0,,
28_reg_array_body,,PA_24,input_val,16:16,100,ro,'0,,
28_reg_array_body,,PA_25,output_en,0:0,104,rw,'0,,
28_reg_array_body,,PA_25,input_en,1:1,104,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_25,drive_strength,3:2,104,rw,'0,,
28_reg_array_body,,PA_25,slew_rate,4:4,104,rw,'0,,
28_reg_array_body,,PA_25,pull_up,5:5,104,rw,'0,,
28_reg_array_body,,PA_25,pull_down,6:6,104,rw,'0,,
28_reg_array_body,,PA_25,hysteresis,7:7,104,rw,'0,,
28_reg_array_body,,PA_25,sel,10:8,104,rw,'0,,
28_reg_array_body,,PA_25,input_val,16:16,104,ro,'0,,
28_reg_array_body,,PA_26,output_en,0:0,108,rw,'0,,
28_reg_array_body,,PA_26,input_en,1:1,108,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_26,drive_strength,3:2,108,rw,'0,,
28_reg_array_body,,PA_26,slew_rate,4:4,108,rw,'0,,
28_reg_array_body,,PA_26,pull_up,5:5,108,rw,'0,,
28_reg_array_body,,PA_26,pull_down,6:6,108,rw,'0,,
28_reg_array_body,,PA_26,hysteresis,7:7,108,rw,'0,,
28_reg_array_body,,PA_26,sel,10:8,108,rw,'0,,
28_reg_array_body,,PA_26,input_val,16:16,108,ro,'0,,
28_reg_array_end,,PA_27,output_en,0:0,112,rw,'0,,
28_reg_array_end,,PA_27,input_en,1:1,112,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_end,,PA_27,drive_strength,3:2,112,rw,'0,,
28_reg_array_end,,PA_27,slew_rate,4:4,112,rw,'0,,
28_reg_array_end,,PA_27,pull_up,5:5,112,rw,'0,,
28_reg_array_end,,PA_27,pull_down,6:6,112,rw,'0,,
28_reg_array_end,,PA_27,hysteresis,7:7,112,rw,'0,,
28_reg_array_end,,PA_27,sel,10:8,112,rw,'0,,
28_reg_array_end,,PA_27,input_val,16:16,112,ro,'0,,
,,DUMMY,dummy,0:0,116,rw,'0,,
